,Year,Male,Female
1,2018,383,377
2,2017,422,368
3,2016,441,362
4,2015,388,316
5,2014,371,351
6,2013,338,316
7,2012,345,278
8,2011,327,228
9,2010,324,249
10,2009,330,229
11,2008,319,217
12,2007,315,236
13,2006,296,177
14,2005,279,165
15,2004,264,175
16,2003,297,154
17,2002,270,163
18,2001,273,138
19,2000,330,145
20,1999,336,135
21,1998,377,157
22,1997,404,150
23,1996,394,121
24,1995,421,122
25,1994,458,128
26,1993,354,109
27,1992,382,136
28,1991,455,149
29,1990,403,114
30,1989,400,105
31,1988,388,106
32,1987,341,85
33,1986,341,76
34,1985,354,86
35,1984,373,89
36,1983,396,78
37,1982,428,85
38,1981,403,40
